	21779	27471	32399	509658	516575	Total
couple	0	0	1	0	0	1
emeralds	0	0	1	0	0	1
emerald	0	0	1	0	0	1
kara	0	0	1	0	0	1
lilybutbelly	0	0	1	0	0	1
milspec	0	0	1	0	0	1
float	0	0	1	0	0	1
angre	1	0	0	0	0	1
hairiest	1	0	0	0	0	1
xgg	1	0	0	0	0	1
allanr	1	0	0	0	0	1
mins	1	0	0	0	0	1
unhappy	1	0	0	0	0	1
factory	0	0	1	0	0	1
foresight	0	0	1	0	0	1
mag	0	0	1	0	0	1
nightmares	0	0	1	0	0	1
opened	0	0	1	0	0	1
cbarkinnies	0	0	1	0	0	1
logos	0	0	1	0	0	1
logo	0	0	1	0	0	1
design	0	0	1	0	0	1
fade	0	0	1	0	0	1
amber	0	0	1	0	0	1
bus	0	0	1	0	0	1
public	0	0	1	0	0	1
boner	0	0	1	0	0	1
ronxtian	0	0	1	0	0	1
aug	0	0	1	0	0	1
little_ahmbouth	0	0	1	0	0	1
bobrgoon	0	0	1	0	0	1
inerx	0	0	1	0	0	1
artwork	0	0	1	0	0	1
overreated	0	0	1	0	0	1
womans	0	0	1	0	0	1
frites	0	0	1	0	0	1
ratirlglider	1	0	0	0	0	1
keller	0	0	1	0	0	1
hellen	0	0	1	0	0	1
juliletsgo	0	0	1	0	0	1
vlouuemama	0	0	1	0	0	1
sandbags	0	0	1	0	0	1
despairge	0	0	1	0	0	1
outclassed	0	0	1	0	0	1
ekkochest	0	0	1	0	0	1
vivigraal	0	0	1	0	0	1
bearthebear_pyry	0	0	1	0	0	1
banner	0	0	1	0	0	1
babafigo	0	0	1	0	0	1
fully	0	0	1	0	0	1
wladcad	0	0	1	0	0	1
halloofgimplzism	0	0	1	0	0	1
frauds	0	0	1	0	0	1
acestare	0	0	1	0	0	1
forsenalright	0	0	1	0	0	1
forefit	0	0	1	0	0	1
strategies	0	0	1	0	0	1
tactic	0	0	1	0	0	1
borpaspin	1	0	0	0	0	1
synergy	1	0	0	0	0	1
kasante	1	0	0	0	0	1
bossman	1	0	0	0	0	1
kirkendaciously	1	0	0	0	0	1
usage	1	0	0	0	0	1
doenst	1	0	0	0	0	1
babus	1	0	0	0	0	1
carrypov	1	0	0	0	0	1
cannon	1	0	0	0	0	1
teses	0	0	1	0	0	1
bleed	1	0	0	0	0	1
akali	1	0	0	0	0	1
nickichs	1	0	0	0	0	1
gliding	1	0	0	0	0	1
anton	1	0	0	0	0	1
chall	1	0	0	0	0	1
aswell	1	0	0	0	0	1
albania	1	0	0	0	0	1
common	1	0	0	0	0	1
lobe	1	0	0	0	0	1
frontal	1	0	0	0	0	1
ich	1	0	0	0	0	1
waste	0	0	1	0	0	1
clutch	0	0	1	0	0	1
karrigan	0	0	1	0	0	1
zywoo	0	0	1	0	0	1
disbanded	0	0	1	0	0	1
predictions	0	0	1	0	0	1
fly	0	0	1	0	0	1
sas	0	0	1	0	0	1
atralis	0	0	1	0	0	1
annoyed	0	0	1	0	0	1
nrgpain	0	0	1	0	0	1
calls	0	0	1	0	0	1
hooxis	0	0	1	0	0	1
fml	0	0	1	0	0	1
earth	0	0	1	0	0	1
caitthinking	0	0	1	0	0	1
broky	0	0	1	0	0	1
overpass	0	0	1	0	0	1
bori	0	0	1	0	0	1
thoses	0	0	1	0	0	1
believed	0	0	1	0	0	1
pains	0	0	1	0	0	1
honest	0	0	1	0	0	1
mayhem	1	0	0	0	0	1
aram	1	0	0	0	0	1
basics	1	0	0	0	0	1
belgoat	1	0	0	0	0	1
european	1	0	0	0	0	1
sound	1	0	0	0	0	1
garbage	1	0	0	0	0	1
faze	0	0	1	0	0	1
venomzera	0	0	1	0	0	1
coldzera	0	0	1	0	0	1
cobrazera	0	0	1	0	0	1
biguzera	0	0	1	0	0	1
ruger	0	0	1	0	0	1
comeback	0	0	1	0	0	1
vsmysle	0	0	1	0	0	1
phzy	0	0	1	0	0	1
company	0	0	1	0	0	1
dissolve	0	0	1	0	0	1
indoors	1	0	0	0	0	1
drake	1	0	0	0	0	1
glaze	1	0	0	0	0	1
deliberately	1	0	0	0	0	1
assist	1	0	0	0	0	1
clm	1	0	0	0	0	1
permission	1	0	0	0	0	1
flossing	1	0	0	0	0	1
painrg	0	0	1	0	0	1
de_airport	0	0	1	0	0	1
high	0	0	1	0	0	1
device	0	0	1	0	0	1
stew	0	0	1	0	0	1
turned	1	0	0	0	0	1
serbia	1	0	0	0	0	1
soccer	1	0	0	0	0	1
african	1	0	0	0	0	1
nickich	1	0	0	0	0	1
adajkdjkajkjd	1	0	0	0	0	1
waisting	1	0	0	0	0	1
winner	0	0	1	0	0	1
blame	0	0	1	0	0	1
gamble	0	0	1	0	0	1
pure	0	0	1	0	0	1
nqz	0	0	1	0	0	1
liliput	0	0	1	0	0	1
compare	0	0	1	0	0	1
inactive	0	0	1	0	0	1
proactive	0	0	1	0	0	1
boil	1	0	0	0	0	1
gulp	1	0	0	0	0	1
boiled	1	0	0	0	0	1
patient	1	0	0	0	0	1
canca	1	0	0	0	0	1
whatt	1	0	0	0	0	1
vespa	1	0	0	0	0	1
weebsdetected	0	0	1	0	0	1
estag	0	0	1	0	0	1
witness	0	0	1	0	0	1
sigh	0	0	1	0	0	1
falcons	0	0	1	0	0	1
spirit	0	0	1	0	0	1
overused	0	0	1	0	0	1
rough	0	0	1	0	0	1
inferno	0	0	1	0	0	1
werent	0	0	1	0	0	1
botralis	0	0	1	0	0	1
prospects	0	0	1	0	0	1
young	0	0	1	0	0	1
nuking	0	0	1	0	0	1
weke	0	0	1	0	0	1
baiting	0	0	1	0	0	1
farlig	0	0	1	0	0	1
gladly	0	0	1	0	0	1
nuke	0	0	1	0	0	1
early	0	0	1	0	0	1
clao	0	0	1	0	0	1
imo	0	0	1	0	0	1
tec	0	0	1	0	0	1
mirage	0	0	1	0	0	1
luh	1	0	0	0	0	1
calm	1	0	0	0	0	1
rent	1	0	0	0	0	1
blasted	1	0	0	0	0	1
eune	1	0	0	0	0	1
italys	1	0	0	0	0	1
drinks	1	0	0	0	0	1
pub	1	0	0	0	0	1
laner	1	0	0	0	0	1
aspiring	1	0	0	0	0	1
superstar	1	0	0	0	0	1
luckys	0	0	1	0	0	1
qualify	0	0	1	0	0	1
closing	0	0	1	0	0	1
aks	0	0	1	0	0	1
konfig	0	0	1	0	0	1
blamef	0	0	1	0	0	1
disrespect	0	0	1	0	0	1
ussles	0	0	1	0	0	1
peepoblush	1	0	0	0	0	1
buns	1	0	0	0	0	1
arc	1	0	0	0	0	1
everygame	1	0	0	0	0	1
oom	1	0	0	0	0	1
perma	1	0	0	0	0	1
monte	0	0	1	0	0	1
crossed	0	0	1	0	0	1
ldlc	0	0	1	0	0	1
bring	0	0	1	0	0	1
org	0	0	1	0	0	1
expect	0	0	1	0	0	1
underperforming	0	0	1	0	0	1
dislike	0	0	1	0	0	1
chapter	1	0	0	0	0	1
ws	1	0	0	0	0	1
water	1	0	0	0	0	1
bombarded	1	0	0	0	0	1
lithuania	1	0	0	0	0	1
stinking	1	0	0	0	0	1
pushh	1	0	0	0	0	1
util	0	0	1	0	0	1
mightve	0	0	1	0	0	1
wdym	0	0	1	0	0	1
suihy	0	0	1	0	0	1
patsi	0	0	1	0	0	1
staehr	0	0	1	0	0	1
ahmet	0	0	1	0	0	1
drope	0	0	1	0	0	1
pas	0	0	1	0	0	1
pidhi	0	0	1	0	0	1
para	0	0	1	0	0	1
kshtu	0	0	1	0	0	1
sluhet	0	0	1	0	0	1
perqendrohu	0	0	1	0	0	1
marr	0	0	1	0	0	1
omobevof	0	0	1	0	0	1
psikopat	0	0	1	0	0	1
gjujte	0	0	1	0	0	1
hits	0	0	1	0	0	1
tilt	0	0	1	0	0	1
barrels	0	0	1	0	0	1
molly	0	0	1	0	0	1
kosovo	0	0	1	0	0	1
silly	0	0	1	0	0	1
qendisje	0	0	1	0	0	1
diagnosed	1	0	0	0	0	1
officially	1	0	0	0	0	1
fcking	1	0	0	0	0	1
mistakes	1	0	0	0	0	1
anymorre	1	0	0	0	0	1
ego	1	0	0	0	0	1
bait	1	0	0	0	0	1
couldve	1	0	0	0	0	1
alcoholic	1	0	0	0	0	1
krismen	0	0	1	0	0	1
nija	0	0	1	0	0	1
nferka	0	0	1	0	0	1
shtine	0	0	1	0	0	1
hoci	0	0	1	0	0	1
shloj	0	0	1	0	0	1
bruda	0	0	1	0	0	1
loj	0	0	1	0	0	1
ska	0	0	1	0	0	1
stremin	0	0	1	0	0	1
lsho	0	0	1	0	0	1
dud	0	0	1	0	0	1
mur	0	0	1	0	0	1
arbrit	0	0	1	0	0	1
tfala	0	0	1	0	0	1
rexhepi	0	0	1	0	0	1
arber	0	0	1	0	0	1
dhe	0	0	1	0	0	1
nga	0	0	1	0	0	1
respekte	0	0	1	0	0	1
haram	1	0	0	0	0	1
drinking	1	0	0	0	0	1
bomber	1	0	0	0	0	1
chosen	1	0	0	0	0	1
peice	1	0	0	0	0	1
showlove	1	0	0	0	0	1
asz	1	0	0	0	0	1
greedy	1	0	0	0	0	1
tard	1	0	0	0	0	1
terrorist	1	0	0	0	0	1
braindead	1	0	0	0	0	1
retard	1	0	0	0	0	1
gruja	0	0	1	0	0	1
vika	0	0	1	0	0	1
marry	0	0	1	0	0	1
biljat	0	0	1	0	0	1
sshti	0	0	1	0	0	1
lujka	0	0	1	0	0	1
qysh	0	0	1	0	0	1
jog	0	0	1	0	0	1
gloves	0	0	1	0	0	1
pair	0	0	1	0	0	1
consisting	0	0	1	0	0	1
aha	0	0	1	0	0	1
joining	0	0	1	0	0	1
shipka	0	0	1	0	0	1
thy	0	0	1	0	0	1
unity	0	0	1	0	0	1
hec	0	0	1	0	0	1
apot	0	0	1	0	0	1
rrok	0	0	1	0	0	1
valla	0	0	1	0	0	1
kangall	0	0	1	0	0	1
vlla	0	0	1	0	0	1
kabllen	0	0	1	0	0	1
shtre	0	0	1	0	0	1
hashshshahan	0	0	1	0	0	1
depositers	0	0	1	0	0	1
highest	0	0	1	0	0	1
leaderboard	0	0	1	0	0	1
monthly	0	0	1	0	0	1
total	0	0	1	0	0	1
compete	0	0	1	0	0	1
cases	0	0	1	0	0	1
mallin	0	0	1	0	0	1
prishtina	0	0	1	0	0	1
kallxove	0	0	1	0	0	1
kesh	0	0	1	0	0	1
krejt	0	0	1	0	0	1
kallxoja	0	0	1	0	0	1
bunnii	1	0	0	0	0	1
js	1	0	0	0	0	1
cent	1	0	0	0	0	1
moodas	1	0	0	0	0	1
eww	1	0	0	0	0	1
tardtard	1	0	0	0	0	1
moms	1	0	0	0	0	1
loves	1	0	0	0	0	1
st	1	0	0	0	0	1
waiting	0	0	1	0	0	1
skinplace	0	0	1	0	0	1
kalum	0	0	1	0	0	1
rastin	0	0	1	0	0	1
kallxona	0	0	1	0	0	1
whens	1	0	0	0	0	1
scales	1	0	0	0	0	1
awhile	1	0	0	0	0	1
sourin	1	0	0	0	0	1
cluegi	1	0	0	0	0	1
pogg	1	0	0	0	0	1
killean	1	0	0	0	0	1
interexi	0	0	1	0	0	1
hilltin	0	0	1	0	0	1
lshu	0	0	1	0	0	1
aty	0	0	1	0	0	1
investu	0	0	1	0	0	1
kena	0	0	1	0	0	1
informo	0	0	1	0	0	1
kosoves	0	0	1	0	0	1
motelet	0	0	1	0	0	1
ibretin	0	0	1	0	0	1
tregu	0	0	1	0	0	1
kopili	0	0	1	0	0	1
ky	0	0	1	0	0	1
pi	0	0	1	0	0	1
dha	0	0	1	0	0	1
tka	0	0	1	0	0	1
nonen	0	0	1	0	0	1
seksirash	0	0	1	0	0	1
popull	0	0	1	0	0	1
fundit	0	0	1	0	0	1
knaq	0	0	1	0	0	1
haver	0	0	1	0	0	1
shoqes	0	0	1	0	0	1
ksaj	0	0	1	0	0	1
omel	0	0	1	0	0	1
shqip	0	0	1	0	0	1
sdin	0	0	1	0	0	1
shyqyr	0	0	1	0	0	1
mannered	0	0	1	0	0	1
dixk	0	0	1	0	0	1
motel	0	0	1	0	0	1
ndreq	0	0	1	0	0	1
qeth	0	0	1	0	0	1
anglisht	0	0	1	0	0	1
nisi	0	0	1	0	0	1
refill	0	0	1	0	0	1
fell	0	0	1	0	0	1
pipat	0	0	1	0	0	1
ngermi	0	0	1	0	0	1
ngaren	0	0	1	0	0	1
dilni	0	0	1	0	0	1
cm	0	0	1	0	0	1
juanflatro	0	0	1	0	0	1
ngjyks	0	0	1	0	0	1
kryn	0	0	1	0	0	1
tja	0	0	1	0	0	1
deri	0	0	1	0	0	1
benefits	0	0	1	0	0	1
reap	0	0	1	0	0	1
weekly	0	0	1	0	0	1
signup	0	0	1	0	0	1
grab	0	0	1	0	0	1
csgoempire	0	0	1	0	0	1
shkretu	0	0	1	0	0	1
ditem	0	0	1	0	0	1
cka	0	0	1	0	0	1
gjora	0	0	1	0	0	1
zbritje	0	0	1	0	0	1
nje	0	0	1	0	0	1
kodin	0	0	1	0	0	1
perdoreni	0	0	1	0	0	1
papidhsat	0	0	1	0	0	1
posht	0	0	1	0	0	1
kar	0	0	1	0	0	1
pernime	0	0	1	0	0	1
menon	0	0	1	0	0	1
najkush	0	0	1	0	0	1
nin	0	0	1	0	0	1
flatricc	0	0	1	0	0	1
punu	0	0	1	0	0	1
shtatzan	0	0	1	0	0	1
lan	0	0	1	0	0	1
mos	0	0	1	0	0	1
pessoa	0	0	1	0	0	1
naten	0	0	1	0	0	1
hek	0	0	1	0	0	1
pale	0	0	1	0	0	1
mo	0	0	1	0	0	1
vje	0	0	1	0	0	1
nuk	0	0	1	0	0	1
nanen	0	0	1	0	0	1
hospitality	0	0	1	0	0	1
qfar	0	0	1	0	0	1
po	0	0	1	0	0	1
delay	0	0	1	0	0	1
produkteve	0	0	1	0	0	1
varesisht	0	0	1	0	0	1
miq	0	0	1	0	0	1
marramendese	0	0	1	0	0	1
nem	0	0	1	0	0	1
tatuado	0	0	1	0	0	1
branco	0	0	1	0	0	1
prove	0	0	1	0	0	1
carros	0	0	1	0	0	1
ionians	1	0	0	0	0	1
shilling	1	0	0	0	0	1
masterclass	1	0	0	0	0	1
imbee	1	0	0	0	0	1
perfectly	1	0	0	0	0	1
reenabled	1	0	0	0	0	1
buggy	1	0	0	0	0	1
baussi	1	0	0	0	0	1
dodges	1	0	0	0	0	1
hj	0	0	1	0	0	1
participar	0	0	1	0	0	1
dar	0	0	1	0	0	1
ia	0	0	1	0	0	1
jon	0	0	1	0	0	1
ver	0	0	1	0	0	1
indo	0	0	1	0	0	1
irmao	0	0	1	0	0	1
meu	0	0	1	0	0	1
mais	0	0	1	0	0	1
sabe	0	0	1	0	0	1
jogando	0	0	1	0	0	1
clima	0	0	1	0	0	1
ficou	0	0	1	0	0	1
pegada	0	0	1	0	0	1
essa	0	0	1	0	0	1
gamers	0	0	1	0	0	1
conto	0	0	1	0	0	1
valorantcs	0	0	1	0	0	1
cenario	0	0	1	0	0	1
kakakakkakakaka	0	0	1	0	0	1
confia	0	0	1	0	0	1
perdido	0	0	1	0	0	1
conhecid	0	0	1	0	0	1
forbidden	1	0	0	0	0	1
huni	1	0	0	0	0	1
space	1	0	0	0	0	1
ulting	1	0	0	0	0	1
tab	1	0	0	0	0	1
restart	1	0	0	0	0	1
zuh	1	0	0	0	0	1
tims	1	0	0	0	0	1
program	1	0	0	0	0	1
participante	0	0	1	0	0	1
onda	0	0	1	0	0	1
segura	0	0	1	0	0	1
barrak	0	0	1	0	0	1
calma	0	0	1	0	0	1
kakakakkakakkaka	0	0	1	0	0	1
passo	0	0	1	0	0	1
engano	0	0	1	0	0	1
guarulhos	0	0	1	0	0	1
mora	0	0	1	0	0	1
entendi	0	0	1	0	0	1
conhesse	0	0	1	0	0	1
aba	0	0	1	0	0	1
abre	0	0	1	0	0	1
abrir	0	0	1	0	0	1
mulher	0	0	1	0	0	1
barrk	0	0	1	0	0	1
dos	0	0	1	0	0	1
tava	0	0	1	0	0	1
pior	0	0	1	0	0	1
entao	0	0	1	0	0	1
aegimariam	1	0	0	0	0	1
ffzw	1	0	0	0	0	1
singer	1	0	0	0	0	1
recognize	1	0	0	0	0	1
namoro	0	0	1	0	0	1
pede	0	0	1	0	0	1
tt	0	0	1	0	0	1
castigo	0	0	1	0	0	1
ficar	0	0	1	0	0	1
categoria	0	0	1	0	0	1
mano	0	0	1	0	0	1
paizao	0	0	1	0	0	1
comeon	0	0	1	0	0	1
nova	0	0	1	0	0	1
conta	0	0	1	0	0	1
ikgual	0	0	1	0	0	1
tatuagem	0	0	1	0	0	1
encaixei	0	0	1	0	0	1
nao	0	0	1	0	0	1
saintmaia	0	0	1	0	0	1
poe	0	0	1	0	0	1
sem	0	0	1	0	0	1
aq	0	0	1	0	0	1
tudo	0	0	1	0	0	1
sozinho	0	0	1	0	0	1
mudando	0	0	1	0	0	1
acho	0	0	1	0	0	1
outros	0	0	1	0	0	1
cumback	0	0	1	0	0	1
notlikethis	0	0	1	0	0	1
tribut	0	0	1	0	0	1
lore	0	0	1	0	0	1
sadeg	1	0	0	0	0	1
wth	1	0	0	0	0	1
acc	1	0	0	0	0	1
hshshshaha	1	0	0	0	0	1
nunu	1	0	0	0	0	1
lesbian	1	0	0	0	0	1
nahhuhh	1	0	0	0	0	1
lhgjgkhgljlhgl	1	0	0	0	0	1
ko	1	0	0	0	0	1
dragon	0	0	1	0	0	1
rush	0	0	1	0	0	1
uncs	0	0	1	0	0	1
splice	0	0	1	0	0	1
fifa	0	0	1	0	0	1
shake	0	0	1	0	0	1
hyperdansi	0	0	1	0	0	1
comebek	0	0	1	0	0	1
loolo	0	0	1	0	0	1
yew	0	0	1	0	0	1
owe	0	0	1	0	0	1
peek	0	0	1	0	0	1
ggwp	0	0	1	0	0	1
clan	0	0	1	0	0	1
overtime	0	0	1	0	0	1
academy	0	0	1	0	0	1
spirits	0	0	1	0	0	1
loan	0	0	1	0	0	1
yees	0	0	1	0	0	1
cait	1	0	0	0	0	1
coin	0	0	1	0	0	1
wood	0	0	1	0	0	1
pspgagaga	0	0	1	0	0	1
egloved	0	0	1	0	0	1
rapthis	0	0	1	0	0	1
mil	0	0	1	0	0	1
tentutu	0	0	1	0	0	1
credits	0	0	1	0	0	1
scam	0	0	1	0	0	1
tts	0	0	1	0	0	1
refund	0	0	1	0	0	1
shirley	0	0	1	0	0	1
pause	0	0	1	0	0	1
rightthere	0	0	1	0	0	1
sample	0	0	1	0	0	1
impact	0	0	1	0	0	1
parm	0	0	1	0	0	1
garlic	0	0	1	0	0	1
wasting	0	0	1	0	0	1
supply	0	0	1	0	0	1
imglitch	0	0	1	0	0	1
lghjlkghjlkg	1	0	0	0	0	1
hljlkjjk	1	0	0	0	0	1
hlkj	1	0	0	0	0	1
omnegalul	1	0	0	0	0	1
fkhglkklhjklghjlkgh	1	0	0	0	0	1
hkfkh	1	0	0	0	0	1
fhlg	1	0	0	0	0	1
cheeck	1	0	0	0	0	1
markl	1	0	0	0	0	1
keshaeuw	1	0	0	0	0	1
zoom	0	0	1	0	0	1
helpoo	1	0	0	0	0	1
nowaying	1	0	0	0	0	1
wholesome	1	0	0	0	0	1
vettu	1	0	0	0	0	1
imorn	1	0	0	0	0	1
studenten	1	0	0	0	0	1
tar	1	0	0	0	0	1
jag	1	0	0	0	0	1
bror	1	0	0	0	0	1
sayon	1	0	0	0	0	1
overflicked	0	0	1	0	0	1
kfc	0	0	1	0	0	1
csgo	0	0	1	0	0	1
cheaper	0	0	1	0	0	1
bussin	0	0	1	0	0	1
dishwasher	0	0	1	0	0	1
changing	0	0	1	0	0	1
molotov	0	0	1	0	0	1
owen	0	0	1	0	0	1
advantage	0	0	1	0	0	1
slend	0	0	1	0	0	1
klar	0	0	1	0	0	1
alles	0	0	1	0	0	1
future	0	0	1	0	0	1
strike	0	0	1	0	0	1
smoodizler	0	0	1	0	0	1
dw	0	0	1	0	0	1
genug	0	0	1	0	0	1
gut	0	0	1	0	0	1
bist	0	0	1	0	0	1
du	0	0	1	0	0	1
lime	1	0	0	0	0	1
pausechamp	0	0	1	0	0	1
gaming	0	0	1	0	0	1
number	0	0	1	0	0	1
soulflys	0	0	1	0	0	1
sign	0	0	1	0	0	1
unlucky	0	0	1	0	0	1
chllouter	0	0	1	0	0	1
zamn	0	0	1	0	0	1
ecos	0	0	1	0	0	1
tiktoks	0	0	1	0	0	1
dav	0	0	1	0	0	1
family	0	0	1	0	0	1
smoo	0	0	1	0	0	1
teamates	0	0	1	0	0	1
ohne	0	0	1	0	0	1
dimaxbusiness	0	0	1	0	0	1
blurry	0	0	1	0	0	1
res	0	0	1	0	0	1
kek	0	0	1	0	0	1
meg	1	0	0	0	0	1
meggot	1	0	0	0	0	1
honor	1	0	0	0	0	1
thresh	1	0	0	0	0	1
sht	1	0	0	0	0	1
dg	1	0	0	0	0	1
disgust	1	0	0	0	0	1
limebike	1	0	0	0	0	1
teammember	1	0	0	0	0	1
ground	1	0	0	0	0	1
hole	1	0	0	0	0	1
bike	1	0	0	0	0	1
missiles	0	0	1	0	0	1
des	0	0	1	0	0	1
vendre	0	0	1	0	0	1
peux	0	0	1	0	0	1
je	0	0	1	0	0	1
megg	1	0	0	0	0	1
toppo	1	0	0	0	0	1
princess	1	0	0	0	0	1
kitty	1	0	0	0	0	1
backseating	1	0	0	0	0	1
kind	1	0	0	0	0	1
serai	0	0	1	0	0	1
jy	0	0	1	0	0	1
militaire	0	0	1	0	0	1
salon	0	0	1	0	0	1
il	0	0	1	0	0	1
smadge	1	0	0	0	0	1
lane	1	0	0	0	0	1
musika	1	0	0	0	0	1
wher	1	0	0	0	0	1
senna	1	0	0	0	0	1
speedlaugh	1	0	0	0	0	1
eats	1	0	0	0	0	1
hesdone	1	0	0	0	0	1
yummy	1	0	0	0	0	1
sexo	0	0	1	0	0	1
trollers	0	0	1	0	0	1
ouushi	0	0	1	0	0	1
trolls	0	0	1	0	0	1
ongod	0	0	1	0	0	1
seconds	0	0	1	0	0	1
active	0	0	1	0	0	1
cheeseburger	0	0	1	0	0	1
shipping	1	0	0	0	0	1
including	1	0	0	0	0	1
purchase	1	0	0	0	0	1
incredible	1	0	0	0	0	1
goizzy	1	0	0	0	0	1
fighter	1	0	0	0	0	1
foid	1	0	0	0	0	1
poroagony	1	0	0	0	0	1
wizwu	0	0	1	0	0	1
wot	0	0	1	0	0	1
nut	0	0	1	0	0	1
getout	0	0	1	0	0	1
gays	0	0	1	0	0	1
rolls	0	0	1	0	0	1
khazix	1	0	0	0	0	1
czechia	0	0	0	1	0	1
spain	0	0	0	1	0	1
ghana	0	0	0	1	0	1
paraguay	0	0	0	1	0	1
magusthemannis	0	0	1	0	0	1
xwaga	0	0	1	0	0	1
awmphm	0	0	1	0	0	1
grok	0	0	1	0	0	1
hulls	0	0	1	0	0	1
sara	0	0	1	0	0	1
widespeeddesert	0	0	1	0	0	1
passed	0	0	1	0	0	1
akeidz_s	0	0	1	0	0	1
vulpdank	0	0	1	0	0	1
wajaja	0	0	1	0	0	1
asstrollers	0	0	1	0	0	1
iraq	0	0	0	1	0	1
coast	0	0	0	1	0	1
ivory	0	0	0	1	0	1
godo	0	0	0	1	0	1
complain	1	0	0	0	0	1
aids	1	0	0	0	0	1
melenia	1	0	0	0	0	1
bully	1	0	0	0	0	1
earlytotally	1	0	0	0	0	1
weak	1	0	0	0	0	1
soo	1	0	0	0	0	1
nexus	1	0	0	0	0	1
freaky	1	0	0	0	0	1
balls	1	0	0	0	0	1
martial	0	0	0	1	0	1
sweepstake	0	0	0	1	0	1
pyramids	0	0	0	1	0	1
account	0	0	0	1	0	1
curaco	0	0	0	1	0	1
jordan	0	0	0	1	0	1
salah	0	0	0	1	0	1
racing	1	0	0	0	0	1
backseat	1	0	0	0	0	1
shacobong	1	0	0	0	0	1
zyx	1	0	0	0	0	1
nise	1	0	0	0	0	1
bee	1	0	0	0	0	1
oo	0	0	0	1	0	1
tgeres	0	0	0	1	0	1
ginge	0	0	0	1	0	1
frence	0	0	0	1	0	1
senegak	0	0	0	1	0	1
cheeky	0	0	0	1	0	1
clearing	0	0	0	1	0	1
army	0	0	0	1	0	1
dzeko	0	0	0	1	0	1
seeded	0	0	0	1	0	1
draw	0	0	0	1	0	1
nibble	0	0	0	1	0	1
prizes	0	0	0	1	0	1
subscribing	0	0	0	1	0	1
leaves	0	0	0	1	0	1
usa	0	0	0	1	0	1
brazil	0	0	0	1	0	1
netherlands	0	0	0	1	0	1
horror	0	0	0	1	0	1
multiple	0	0	0	1	0	1
gypsy	0	0	0	1	0	1
basketball	0	0	0	1	0	1
anthem	0	0	0	1	0	1
honduras	0	0	0	1	0	1
sing	0	0	0	1	0	1
refusing	0	0	0	1	0	1
bossed	1	0	0	0	0	1
ppl	1	0	0	0	0	1
interestingin	1	0	0	0	0	1
varieties	1	0	0	0	0	1
incident	1	0	0	0	0	1
ahah	1	0	0	0	0	1
acting	0	0	0	1	0	1
bunch	0	0	0	1	0	1
respin	0	0	0	1	0	1
leaving	0	0	0	1	0	1
duck	0	0	0	1	0	1
lineage	1	0	0	0	0	1
semi	0	0	0	1	0	1
mexicoo	0	0	0	1	0	1
omecheer	0	0	0	1	0	1
tshabalala	0	0	0	1	0	1
hahshdj	0	0	0	1	0	1
ishowspeed	0	0	0	1	0	1
bigger	0	0	0	1	0	1
himno	0	0	0	1	0	1
tyl	0	0	0	1	0	1
kickoff	0	0	0	1	0	1
ark	0	0	0	1	0	1
shirtless	0	0	0	1	0	1
ny	0	0	0	1	0	1
pussy	0	0	0	1	0	1
lakeshow	0	0	0	1	0	1
behinds	0	0	0	1	0	1
reacting	0	0	0	1	0	1
arky	0	0	0	1	0	1
shoes	0	0	0	1	0	1
pink	0	0	0	1	0	1
stadium	0	0	0	1	0	1
romania	1	0	0	0	0	1
annie	1	0	0	0	0	1
alot	1	0	0	0	0	1
asked	1	0	0	0	0	1
rightfully	1	0	0	0	0	1
hyped	1	0	0	0	0	1
pwease	1	0	0	0	0	1
hmmclueless	1	0	0	0	0	1
godfrey	1	0	0	0	0	1
direct	1	0	0	0	0	1
celebrating	0	0	0	1	0	1
da	0	0	0	1	0	1
wave	0	0	0	1	0	1
nigga	0	0	0	1	0	1
tula	0	0	0	1	0	1
gassing	0	0	0	1	0	1
speeds	0	0	0	1	0	1
nap	0	0	0	1	0	1
ain	0	0	0	1	0	1
carajo	0	0	0	1	0	1
appearance	0	0	0	1	0	1
ejae	0	0	0	1	0	1
gon	0	0	0	1	0	1
africawe	0	0	0	1	0	1
gunna	0	0	0	1	0	1
scene	0	0	0	1	0	1
raw	1	0	0	0	0	1
blast	1	0	0	0	0	1
observation	1	0	0	0	0	1
faulty	1	0	0	0	0	1
cumm	1	0	0	0	0	1
delulu	1	0	0	0	0	1
golden	1	0	0	0	0	1
larp	1	0	0	0	0	1
hour	1	0	0	0	0	1
wid	1	0	0	0	0	1
father	1	0	0	0	0	1
handless	1	0	0	0	0	1
drut	1	0	0	0	0	1
cousin	1	0	0	0	0	1
distant	1	0	0	0	0	1
poo	0	0	0	1	0	1
swedens	0	0	0	1	0	1
frace	0	0	0	1	0	1
beacon	0	0	0	1	0	1
farnce	0	0	0	1	0	1
girlfriends	0	0	0	1	0	1
heinz	0	0	0	1	0	1
ifc	0	0	0	1	0	1
goal	0	0	0	1	0	1
crowd	0	0	0	1	0	1
horse	0	0	0	1	0	1
clipping	0	0	0	1	0	1
commitment	0	0	0	1	0	1
invade	0	0	0	1	0	1
danyyuy	0	0	0	1	0	1
evening	0	0	0	1	0	1
initial	1	0	0	0	0	1
facial	0	0	0	1	0	1
dannys	0	0	0	1	0	1
timestamp	0	0	0	1	0	1
nab	0	0	0	1	0	1
sa	1	0	0	0	0	1
kicking	1	0	0	0	0	1
sneak	1	0	0	0	0	1
musk	0	0	0	1	0	1
elon	0	0	0	1	0	1
